"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"SURVEY","2026","WEEK #13","2026-03-29","STATE","LOUISIANA","22","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","76",""
"SURVEY","2026","WEEK #13","2026-03-29","STATE","MISSISSIPPI","28","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT EMERGED","TOTAL","NOT SPECIFIED","24",""
"SURVEY","2026","WEEK #13","2026-03-29","STATE","MISSISSIPPI","28","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","50",""
"SURVEY","2026","WEEK #13","2026-03-29","STATE","MISSOURI","29","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","4",""
"SURVEY","2026","WEEK #13","2026-03-29","STATE","TEXAS","48","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT EMERGED","TOTAL","NOT SPECIFIED","30",""
"SURVEY","2026","WEEK #13","2026-03-29","STATE","TEXAS","48","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","53",""
"SURVEY","2026","WEEK #14","2026-04-05","STATE","ALABAMA","01","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT EMERGED","TOTAL","NOT SPECIFIED","7",""
"SURVEY","2026","WEEK #14","2026-04-05","STATE","ALABAMA","01","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","33",""
"SURVEY","2026","WEEK #14","2026-04-05","STATE","ARKANSAS","05","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT EMERGED","TOTAL","NOT SPECIFIED","20",""
"SURVEY","2026","WEEK #14","2026-04-05","STATE","ARKANSAS","05","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","45",""
"SURVEY","2026","WEEK #14","2026-04-05","STATE","COLORADO","08","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","0",""
"SURVEY","2026","WEEK #14","2026-04-05","STATE","DELAWARE","10","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","0",""
"SURVEY","2026","WEEK #14","2026-04-05","STATE","GEORGIA","13","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT EMERGED","TOTAL","NOT SPECIFIED","33",""
"SURVEY","2026","WEEK #14","2026-04-05","STATE","GEORGIA","13","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","49",""
"SURVEY","2026","WEEK #14","2026-04-05","STATE","ILLINOIS","17","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","1",""
"SURVEY","2026","WEEK #14","2026-04-05","STATE","INDIANA","18","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","1",""
"SURVEY","2026","WEEK #14","2026-04-05","STATE","IOWA","19","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","0",""
"SURVEY","2026","WEEK #14","2026-04-05","STATE","KANSAS","20","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","5",""
"SURVEY","2026","WEEK #14","2026-04-05","STATE","KENTUCKY","21","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","6",""
"SURVEY","2026","WEEK #14","2026-04-05","STATE","LOUISIANA","22","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT EMERGED","TOTAL","NOT SPECIFIED","63",""
"SURVEY","2026","WEEK #14","2026-04-05","STATE","LOUISIANA","22","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","88",""
"SURVEY","2026","WEEK #14","2026-04-05","STATE","MARYLAND","24","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","0",""
"SURVEY","2026","WEEK #14","2026-04-05","STATE","MICHIGAN","26","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","0",""
"SURVEY","2026","WEEK #14","2026-04-05","STATE","MINNESOTA","27","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","0",""
"SURVEY","2026","WEEK #14","2026-04-05","STATE","MISSISSIPPI","28","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT EMERGED","TOTAL","NOT SPECIFIED","35",""
"SURVEY","2026","WEEK #14","2026-04-05","STATE","MISSISSIPPI","28","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","60",""
"SURVEY","2026","WEEK #14","2026-04-05","STATE","MISSOURI","29","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT EMERGED","TOTAL","NOT SPECIFIED","2",""
"SURVEY","2026","WEEK #14","2026-04-05","STATE","MISSOURI","29","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","8",""
"SURVEY","2026","WEEK #14","2026-04-05","STATE","NEBRASKA","31","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","0",""
"SURVEY","2026","WEEK #14","2026-04-05","STATE","NORTH CAROLINA","37","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","7",""
"SURVEY","2026","WEEK #14","2026-04-05","STATE","NORTH DAKOTA","38","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","0",""
"SURVEY","2026","WEEK #14","2026-04-05","STATE","OHIO","39","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","0",""
"SURVEY","2026","WEEK #14","2026-04-05","STATE","OKLAHOMA","40","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","3",""
"SURVEY","2026","WEEK #14","2026-04-05","STATE","PENNSYLVANIA","42","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","0",""
"SURVEY","2026","WEEK #14","2026-04-05","STATE","SOUTH CAROLINA","45","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT EMERGED","TOTAL","NOT SPECIFIED","15",""
"SURVEY","2026","WEEK #14","2026-04-05","STATE","SOUTH CAROLINA","45","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","34",""
"SURVEY","2026","WEEK #14","2026-04-05","STATE","SOUTH DAKOTA","46","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","0",""
"SURVEY","2026","WEEK #14","2026-04-05","STATE","TENNESSEE","47","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","18",""
"SURVEY","2026","WEEK #14","2026-04-05","STATE","TEXAS","48","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT EMERGED","TOTAL","NOT SPECIFIED","37",""
"SURVEY","2026","WEEK #14","2026-04-05","STATE","TEXAS","48","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","59",""
"SURVEY","2026","WEEK #14","2026-04-05","STATE","UTAH","49","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","1",""
"SURVEY","2026","WEEK #14","2026-04-05","STATE","VIRGINIA","51","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","2",""
"SURVEY","2026","WEEK #14","2026-04-05","STATE","WEST VIRGINIA","54","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","0",""
"SURVEY","2026","WEEK #14","2026-04-05","STATE","WISCONSIN","55","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","1",""
"SURVEY","2026","WEEK #15","2026-04-12","STATE","ALABAMA","01","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT EMERGED","TOTAL","NOT SPECIFIED","27",""
"SURVEY","2026","WEEK #15","2026-04-12","STATE","ALABAMA","01","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","60",""
"SURVEY","2026","WEEK #15","2026-04-12","STATE","ARKANSAS","05","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT EMERGED","TOTAL","NOT SPECIFIED","37",""
"SURVEY","2026","WEEK #15","2026-04-12","STATE","ARKANSAS","05","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","63",""
"SURVEY","2026","WEEK #15","2026-04-12","STATE","COLORADO","08","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","2",""
"SURVEY","2026","WEEK #15","2026-04-12","STATE","DELAWARE","10","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","0",""
"SURVEY","2026","WEEK #15","2026-04-12","STATE","GEORGIA","13","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT EMERGED","TOTAL","NOT SPECIFIED","49",""
"SURVEY","2026","WEEK #15","2026-04-12","STATE","GEORGIA","13","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","70",""
"SURVEY","2026","WEEK #15","2026-04-12","STATE","ILLINOIS","17","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT EMERGED","TOTAL","NOT SPECIFIED","1",""
"SURVEY","2026","WEEK #15","2026-04-12","STATE","ILLINOIS","17","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","4",""
"SURVEY","2026","WEEK #15","2026-04-12","STATE","INDIANA","18","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","3",""
"SURVEY","2026","WEEK #15","2026-04-12","STATE","IOWA","19","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","1",""
"SURVEY","2026","WEEK #15","2026-04-12","STATE","KANSAS","20","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","9",""
"SURVEY","2026","WEEK #15","2026-04-12","STATE","KENTUCKY","21","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","24",""
"SURVEY","2026","WEEK #15","2026-04-12","STATE","LOUISIANA","22","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT EMERGED","TOTAL","NOT SPECIFIED","83",""
"SURVEY","2026","WEEK #15","2026-04-12","STATE","LOUISIANA","22","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","95",""
"SURVEY","2026","WEEK #15","2026-04-12","STATE","MARYLAND","24","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","0",""
"SURVEY","2026","WEEK #15","2026-04-12","STATE","MICHIGAN","26","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","0",""
"SURVEY","2026","WEEK #15","2026-04-12","STATE","MINNESOTA","27","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","0",""
"SURVEY","2026","WEEK #15","2026-04-12","STATE","MISSISSIPPI","28","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT EMERGED","TOTAL","NOT SPECIFIED","54",""
"SURVEY","2026","WEEK #15","2026-04-12","STATE","MISSISSIPPI","28","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","77",""
"SURVEY","2026","WEEK #15","2026-04-12","STATE","MISSOURI","29","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT EMERGED","TOTAL","NOT SPECIFIED","8",""
"SURVEY","2026","WEEK #15","2026-04-12","STATE","MISSOURI","29","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","15",""
"SURVEY","2026","WEEK #15","2026-04-12","STATE","NEBRASKA","31","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","0",""
"SURVEY","2026","WEEK #15","2026-04-12","STATE","NEW MEXICO","35","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","3",""
"SURVEY","2026","WEEK #15","2026-04-12","STATE","NORTH CAROLINA","37","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT EMERGED","TOTAL","NOT SPECIFIED","4",""
"SURVEY","2026","WEEK #15","2026-04-12","STATE","NORTH CAROLINA","37","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","29",""
"SURVEY","2026","WEEK #15","2026-04-12","STATE","NORTH DAKOTA","38","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","0",""
"SURVEY","2026","WEEK #15","2026-04-12","STATE","OHIO","39","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","1",""
"SURVEY","2026","WEEK #15","2026-04-12","STATE","OKLAHOMA","40","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","12",""
"SURVEY","2026","WEEK #15","2026-04-12","STATE","PENNSYLVANIA","42","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","0",""
"SURVEY","2026","WEEK #15","2026-04-12","STATE","SOUTH CAROLINA","45","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT EMERGED","TOTAL","NOT SPECIFIED","34",""
"SURVEY","2026","WEEK #15","2026-04-12","STATE","SOUTH CAROLINA","45","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","50",""
"SURVEY","2026","WEEK #15","2026-04-12","STATE","SOUTH DAKOTA","46","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","0",""
"SURVEY","2026","WEEK #15","2026-04-12","STATE","TENNESSEE","47","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","42",""
"SURVEY","2026","WEEK #15","2026-04-12","STATE","TEXAS","48","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT EMERGED","TOTAL","NOT SPECIFIED","47",""
"SURVEY","2026","WEEK #15","2026-04-12","STATE","TEXAS","48","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","63",""
"SURVEY","2026","WEEK #15","2026-04-12","STATE","UTAH","49","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","2",""
"SURVEY","2026","WEEK #15","2026-04-12","STATE","VIRGINIA","51","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","12",""
"SURVEY","2026","WEEK #15","2026-04-12","STATE","WEST VIRGINIA","54","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","3",""
"SURVEY","2026","WEEK #15","2026-04-12","STATE","WISCONSIN","55","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","1",""
